adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001174922-20-000015	1174922	WYNN RESORTS LTD	7011	US	NV	LAS VEGAS	89109	3131 LAS VEGAS BOULEVARD SOUTH		7027707555	US	NV	LAS VEGAS	89109	3131 LAS VEGAS BOULEVARD SOUTH				460484987			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:06:00.0	1	0	wynn-20200206_htm.xml	1	
0001175454-20-000003	1175454	FLEETCOR TECHNOLOGIES INC	7389	US	GA	ATLANTA	30305	3280 PEACHTREE ROAD	SUITE 2400	800-877-9019	US	GA	ATLANTA	30305	3280 PEACHTREE ROAD	SUITE 2400	US	DE	000000000			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:17:00.0	1	0	a8kfebruary62020_htm.xml	1	
0001180145-20-000008	1180145	CARDIOVASCULAR SYSTEMS INC	3841	US	MN	ST. PAUL	55112	1225 OLD HWY 8 NW		651-259-1600	US	MN	ST. PAUL	55112	1225 OLD HWY 8 NW		US	DE	411698056	REPLIDYNE INC	20020813	1-LAF	0	0630	10-Q	20191231	2020	Q2	20200206	2020-02-06 16:32:00.0	0	1	csii-20191231_htm.xml	1	
0001185185-20-000125	1419275	GREENBOX POS	8742	US	CA	SAN DIEGO	92108	8880 RIO SAN DIEGO DR., SUITE 102		619-631-8261	US	CA	SAN DIEGO	92108	8880 RIO SAN DIEGO DR., SUITE 102		US	NV	000000000	GREENBOX POS, LLC	20180613	4-NON	0	1231	10-Q/A	20180630	2018	Q2	20200206	2020-02-05 20:59:00.0	0	1	grbx-20180630.xml	1	
0001185185-20-000127	1419275	GREENBOX POS	8742	US	CA	SAN DIEGO	92108	8880 RIO SAN DIEGO DR., SUITE 102		619-631-8261	US	CA	SAN DIEGO	92108	8880 RIO SAN DIEGO DR., SUITE 102		US	NV	000000000	GREENBOX POS, LLC	20180613	4-NON	0	1231	10-Q/A	20180930	2018	Q3	20200206	2020-02-05 21:16:00.0	0	1	grbx-20180930.xml	1	
0001193125-20-025598	1024725	TENNECO INC	3714	US	IL	LAKE FOREST	60045	500 NORTH FIELD DRIVE		847-482-5000	US	IL	LAKE FOREST	60045	500 N FIELD DR	ROOM T 2560B	US	DE	760515284	TENNECO AUTOMOTIVE INC	19991112	1-LAF	0	1231	8-K	20200131			20200206	2020-02-05 19:01:00.0	1	0	d838991d8k_htm.xml	1	
0001193125-20-026079	1128928	FLOWERS FOODS INC	2000	US	GA	THOMASVILLE	31757	1919 FLOWERS CIRCLE		9122269110	US	GA	THOMASVILLE	31757	1919 FLOWERS CIRCLE		US	GA	582582379			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 06:31:00.0	1	0	d844383d8k_htm.xml	1	
0001193125-20-026120	912242	MACERICH CO	6798	US	CA	SANTA MONICA	90401	401 WILSHIRE BLVD	STE 700	3103946000	US	CA	SANTA MONICA	90401	401 WILSHIRE BLVD SUITE 700		US	MD	954448705			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:01:00.0	0	0	d797141d8k_htm.xml	1	
0001193125-20-026142	1237746	ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC.	7372	US	MA	BURLINGTON	01803	10 CORPORATE DRIVE	SUITE 300	781-852-3200	US	MA	BURLINGTON	01803	10 CORPORATE DRIVE	SUITE 300	US	DE	463044956	ENDURANCE INTERNATIONAL GROUP INC	20030613	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:18:00.0	0	0	d844489d8k_htm.xml	1	
0001193125-20-026172	320187	NIKE, INC.	3021	US	OR	BEAVERTON	97005-6453	ONE BOWERMAN DR		5036713173	US	OR	BEAVERTON	97005-6453	ONE BOWERMAN DR		US	OR	930584541	NIKE INC	19920703	1-LAF	0	0531	8-K	20200131			20200206	2020-02-06 07:32:00.0	0	0	d865187d8k_htm.xml	1	
0001193125-20-026187	1316835	BUILDERS FIRSTSOURCE, INC.	5211	US	TX	DALLAS	75201	2001 BRYAN STREET, SUITE 1600		(214) 880-3500	US	TX	DALLAS	75201	2001 BRYAN STREET, SUITE 1600		US	DE	522084569			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:39:00.0	1	0	d882444d8k_htm.xml	1	
0001193125-20-026212	1594466	PARSLEY ENERGY, INC.	1311	US	TX	AUSTIN	78701	303 COLORADO STREET	SUITE 3000	(737) 704-2300	US	TX	AUSTIN	78701	303 COLORADO STREET	SUITE 3000	US	TX	464314192			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:54:00.0	0	0	d878836d8k_htm.xml	1	
0001193125-20-026302	1287865	MEDICAL PROPERTIES TRUST INC	6798	US	AL	BIRMINGHAM	35242	1000 UBRAN CENTER DRIVE	SUITE 501	205-969-3755	US	AL	BIRMINGHAM	35242	1000 URBAN CENTER DRIVE	SUITE 501			000000000			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 09:07:00.0	0	0	d881788d8k_htm.xml	1	
0001193125-20-026375	1260221	TRANSDIGM GROUP INC	3728	US	OH	CLEVELAND	44114	1301 EAST 9TH STREET	SUITE 3000	216 706 2960	US	OH	CLEVELAND	44114	1301 EAST 9TH STREET	SUITE 3000	US	DE	510484716	TD HOLDING CORP	20030818	1-LAF	0	0930	8-K	20200131			20200206	2020-02-06 09:59:00.0	0	0	d864933d8k_htm.xml	1	
0001193125-20-026379	1562476	TAYLOR MORRISON HOME CORP	1531	US	AZ	SCOTTSDALE	85251	4900 N. SCOTTSDALE ROAD, SUITE 2000		480-840-8100	US	AZ	SCOTTSDALE	85251	4900 N. SCOTTSDALE ROAD, SUITE 2000		US	DE	900907433			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 10:02:00.0	1	0	d851617d8k_htm.xml	1	
0001193125-20-026751	1262104	MEI PHARMA, INC.	2834	US	CA	SAN DIEGO	92130	3611 VALLEY CENTER DRIVE	SUITE 500	858-792-6300	US	CA	SAN DIEGO	92130	3611 VALLEY CENTER DRIVE	SUITE 500	US	DE	510407811	MARSHALL EDWARDS INC	20030902	2-ACC	0	0630	10-Q	20191231	2020	Q2	20200206	2020-02-06 16:02:00.0	0	1	meip-20191231.xml	1	
0001193125-20-026760	1631574	WAVE LIFE SCIENCES LTD.	2834	SG		SINGAPORE	018936	7 STRAITS VIEW	#12-00, MARINA ONE EAST TOWER	617-949-2900	US	MA	CAMBRIDGE	02138	733 CONCORD AVENUE		SG		000000000	WAVE LIFE SCIENCES LTD.	20170516	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:04:00.0	1	0	d859781d8k_htm.xml	1	
0001193125-20-026765	920148	LABORATORY CORP OF AMERICA HOLDINGS	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST		US	DE	133757370	NATIONAL HEALTH LABORATORIES HOLDINGS INC	19940314	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:06:00.0	0	0	d859803d8k_htm.xml	1	
0001193125-20-026783	1095996	WILLIAM LYON HOMES	1531	US	CA	NEWPORT BEACH	92660	4695 MACARTHUR COURT	8TH FLOOR	9498333600	US	CA	NEWPORT BEACH	92660	4695 MACARTHUR COURT	8TH FLOOR	US	DE	330864902	PRESLEY COMPANIES/NEW	19991115	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:13:00.0	0	0	d881600d8k_htm.xml	1	
0001193125-20-026785	1177648	ENANTA PHARMACEUTICALS INC	2834	US	MA	WATERTOWN	02472	500 ARSENAL STREET		617 607 0800	US	MA	WATERTOWN	02472	500 ARSENAL STREET		US	DE	000000000			1-LAF	0	0930	8-K	20200131			20200206	2020-02-06 16:15:00.0	0	0	d855539d8k_htm.xml	1	
0001193125-20-026792	1577916	PREMIER, INC.	8741	US	NC	CHARLOTTE	28277	13034 BALLANTYNE CORPORATE PLACE		704-357-0022	US	NC	CHARLOTTE	28277	13034 BALLANTYNE CORPORATE PLACE				000000000			1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 16:17:00.0	0	0	d883238d8k_htm.xml	1	
0001193125-20-026800	817720	SYNAPTICS INC	3674	US	CA	SAN JOSE	95131-3326	1251 MCKAY DRIVE		408-904-1100	US	CA	SAN JOSE	95131-3326	1251 MCKAY DRIVE		US	DE	770118518	SYNAPTICS INC	20010216	1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 16:22:00.0	1	0	d868908d8k_htm.xml	1	
0001193125-20-026801	1596783	CATALENT, INC.	2834	US	NJ	SOMERSET	08873	14 SCHOOLHOUSE ROAD		(732) 537-6200	US	NJ	SOMERSET	08873	14 SCHOOLHOUSE ROAD		US	DE	208737688	PTS HOLDINGS CORP.	20140113	1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 16:23:00.0	0	0	d881457d8k_htm.xml	1	
0001193125-20-026805	1356090	PRECIGEN, INC.	8731	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		301-556-9900	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		US	VA	000000000	INTREXON CORP	20060313	1-LAF	0	1231	8-K/A	20200131			20200206	2020-02-06 16:25:00.0	0	0	d860631d8ka_htm.xml	1	
0001193125-20-026806	732712	VERIZON COMMUNICATIONS INC	4813	US	NY	NEW YORK	10036	1095 AVENUE OF THE AMERICAS		212-395-1000	US	NY	NEW YORK	10036	1095 AVENUE OF THE AMERICAS		US	DE	232259884	BELL ATLANTIC CORP	19920703	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:25:00.0	0	0	d867691d8k_htm.xml	1	
0001193125-20-026807	1437071	INVESCO MORTGAGE CAPITAL INC.	6798	US	GA	ATLANTA	30309	TWO PEACHTREE POINTE	1555 PEACHTREE STREET, NE	404-892-0896	US	GA	ATLANTA	30309	TWO PEACHTREE POINTE	1555 PEACHTREE STREET, NE	US	MD	262749336	INVESCO AGENCY SECURITIES INC.	20080606	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:26:00.0	0	0	d882423d8k_htm.xml	1	
0001193125-20-026811	1467760	APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.	6798	US	NY	NEW YORK	10019	C/O APOLLO GLOBAL MANAGEMENT, LLC	9 WEST 57TH STREET, 43RD FLOOR	(212) 515-3200	US	NY	NEW YORK	10019	C/O APOLLO GLOBAL MANAGEMENT, LLC	9 WEST 57TH STREET, 43RD FLOOR	US	MD	270467113			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:29:00.0	1	0	d859957d8k_htm.xml	1	
0001193125-20-026812	1356090	PRECIGEN, INC.	8731	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		301-556-9900	US	MD	GERMANTOWN	20876	20374 SENECA MEADOWS PARKWAY		US	VA	000000000	INTREXON CORP	20060313	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:30:00.0	0	0	d852725d8k_htm.xml	1	
0001193125-20-026820	1735184	RETAIL VALUE INC.	6500	US	OH	BEACHWOOD	44122	3300 ENTERPRISE PARKWAY		216-755-5500	US	OH	BEACHWOOD	44122	3300 ENTERPRISE PARKWAY		US	OH	824182996			4-NON	0	1231	8-K	20200131			20200206	2020-02-06 16:31:00.0	0	0	d848772d8k_htm.xml	1	
0001193125-20-026834	797721	VIASAT INC	3663	US	CA	CARLSBAD	92009	6155 EL CAMINO REAL		760-476-2200	US	CA	CARLSBAD	92009	6155 EL CAMINO REAL		US	DE	330174996			1-LAF	0	0331	8-K	20200131			20200206	2020-02-06 16:38:00.0	0	0	d884733d8k_htm.xml	1	
0001193125-20-026841	797721	VIASAT INC	3663	US	CA	CARLSBAD	92009	6155 EL CAMINO REAL		760-476-2200	US	CA	CARLSBAD	92009	6155 EL CAMINO REAL		US	DE	330174996			1-LAF	0	0331	8-K	20200131			20200206	2020-02-06 16:42:00.0	0	0	d841276d8k_htm.xml	1	
0001193125-20-026847	1393612	DISCOVER FINANCIAL SERVICES	6141	US	IL	RIVERWOODS	60015	2500 LAKE COOK ROAD		224-405-0900	US	IL	RIVERWOODS	60015	2500 LAKE COOK ROAD		US	DE	362517428			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:45:00.0	0	0	d882596d8k_htm.xml	1	
0001193125-20-026858	91576	KEYCORP /NEW/	6021	US	OH	CLEVELAND	44114-1306	127 PUBLIC SQ		2166896300	US	OH	CLEVELAND	44114-1306	127 PUBLIC SQ		US	OH	346542451	SOCIETY CORP	19920703	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:52:00.0	1	0	d874526d8k_htm.xml	1	
0001193125-20-026860	1564708	NEWS CORP	2711	US	NY	NEW YORK	10036	1211 AVENUE OF THE AMERICAS		212-416-3400	US	NY	NEW YORK	10036	1211 AVENUE OF THE AMERICAS		US	DE	000000000	NEWS CORP	20130628	1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 16:52:00.0	0	0	d864238d8k_htm.xml	1	
0001193125-20-026865	759944	CITIZENS FINANCIAL GROUP INC/RI	6022	US	RI	PROVIDENCE	02903	1 CITIZENS PLAZA		4014567000	US	RI	PROVIDENCE	02903	1 CITIZENS PLAZA		US	DE	050412693			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:56:00.0	0	0	d884753d8k_htm.xml	1	
0001193125-20-026868	842162	LEAR CORP	3714	US	MI	SOUTHFIELD	48033	21557 TELEGRAPH ROAD		2484471500	US	MI	SOUTHFIELD	48033	21557 TELEGRAPH ROAD		US	DE	133386776	LEAR CORP /DE/	19960620	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:58:00.0	0	0	d883019d8k_htm.xml	1	
0001193125-20-026871	899923	MYRIAD GENETICS INC	2835	US	UT	SALT LAKE CITY	84108	320 WAKARA WAY		801-584-3600	US	UT	SALT LAKE CITY	84108	320 WAKARA WAY		US	DE	870494517			1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 17:00:00.0	1	0	d881361d8k_htm.xml	1	
0001193125-20-026877	1319161	WARNER MUSIC GROUP CORP.	7900	US	NY	NEW YORK	10019	1633 BROADWAY		212-275-2000	US	NY	NEW YORK	10019	1633 BROADWAY		US	DE	134271875	WMG PARENT CORP.	20050228	4-NON	0	0930	S-1	20191231			20200206	2020-02-06 17:07:00.0	1	1	wmg-20191231.xml	1	
0001193125-20-026914	1090425	LAMAR ADVERTISING CO/NEW	6798	US	LA	BATON ROUGE	70808	C/O LAMAR ADVERTISING COMPANY	5321 CORPORATE BOULEVARD	2259261000	US	LA	BATON ROUGE	70808	C/O LAMAR ADVERTISING COMPANY	5321 CORPORATE BOULEVARD	US	DE	721449411	LAMAR NEW HOLDING CO	19990716	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 17:23:00.0	0	0	d882167d8k_htm.xml	2	899045
0001206774-20-000381	356309	NEW JERSEY RESOURCES CORP	4924	US	NJ	WALL	07719	1415 WYCKOFF RD	PO BOX 1468	7329381000	US	NJ	WALL	07719	1415 WYCKOFF ROAD	P O BOX 1468	US	NJ	222376465			1-LAF	0	0930	8-K	20200131			20200206	2020-02-06 07:00:00.0	0	0	njr3717811-8k_htm.xml	1	
0001213900-20-002774	1704795	BANTEK INC.	3721	US	NJ	PINE BROOK	07058	330 CHANGEBRIDGE ROAD	SUITE 101	203-220-2296	US	NJ	PINE BROOK	07058	330 CHANGEBRIDGE ROAD	SUITE 101	US	DE	300967943	DRONE USA INC.	20170426	4-NON	0	0930	10-K	20190930	2019	FY	20200206	2020-02-06 15:35:00.0	0	1	bant-20190930.xml	1	
0001213900-20-002786	1158780	PLURISTEM THERAPEUTICS INC	2836	IL		HAIFA	3508409	MATAM ADVANCED TECHNOLOGY PARK	BUILDING NO. 5	972-74-710-7171	IL		HAIFA	3508409	MATAM ADVANCED TECHNOLOGY PARK	BUILDING NO. 5	US	NV	980351734	PLURISTEM LIFE SYSTEMS INC	20030701	2-ACC	0	0630	10-Q	20191231	2020	Q2	20200206	2020-02-06 16:10:00.0	0	1	psti-20191231.xml	1	
0001235468-20-000055	1235468	LIQUIDITY SERVICES INC	7389	US	MD	BETHESDA	20814	6931 ARLINGTON ROAD	SUITE 200	2024676868	US	MD	BETHESDA	20814	6931 ARLINGTON ROAD	SUITE 200	US	DE	522209244			2-ACC	0	0930	10-Q	20191231	2020	Q1	20200206	2020-02-06 14:42:00.0	0	1	lqdt-20191231_htm.xml	1	
0001262039-20-000004	1262039	FORTINET, INC.	3577	US	CA	SUNNYVALE	94086	899 KIFER ROAD		408-235-7700	US	CA	SUNNYVALE	94086	899 KIFER ROAD				770560389	FORTINET INC	20030902	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:15:00.0	1	0	ftntq4-2019form8k_htm.xml	1	
0001283699-20-000025	1283699	T-MOBILE US, INC.	4812	US	WA	BELLEVUE	98006	12920 SE 38TH STREET		800-318-9270	US	WA	BELLEVUE	98006	12920 SE 38TH STREET		US	DE	200836269	METROPCS COMMUNICATIONS INC	20040315	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:03:00.0	1	0	tmus12312019form8-k_htm.xml	1	
0001283699-20-000026	1283699	T-MOBILE US, INC.	4812	US	WA	BELLEVUE	98006	12920 SE 38TH STREET		800-318-9270	US	WA	BELLEVUE	98006	12920 SE 38TH STREET		US	DE	200836269	METROPCS COMMUNICATIONS INC	20040315	1-LAF	1	1231	10-K	20191231	2019	FY	20200206	2020-02-06 16:08:00.0	0	1	tmus-20191231_htm.xml	1	
0001295947-20-000007	1295947	PRESTIGE CONSUMER HEALTHCARE INC.	2834	US	NY	TARRYTOWN	10591	660 WHITE PLAINS RD.		(914) 524-6800	US	NY	TARRYTOWN	10591	660 WHITE PLAINS RD.				201297589	PRESTIGE BRANDS HOLDINGS, INC.	20040727	1-LAF	0	0331	8-K	20200131			20200206	2020-02-06 06:06:00.0	0	0	pbh-20200206_htm.xml	1	
0001295947-20-000009	1295947	PRESTIGE CONSUMER HEALTHCARE INC.	2834	US	NY	TARRYTOWN	10591	660 WHITE PLAINS RD.		(914) 524-6800	US	NY	TARRYTOWN	10591	660 WHITE PLAINS RD.				201297589	PRESTIGE BRANDS HOLDINGS, INC.	20040727	1-LAF	0	0331	10-Q	20191231	2020	Q3	20200206	2020-02-06 06:24:00.0	0	1	pbh-20191231_htm.xml	1	
0001302215-20-000005	1302215	HOULIHAN LOKEY, INC.	6282	US	CA	LOS ANGELES	90067	HOULIHAN LOKEY, INC.	10250 CONSTELLATION BLVD., 5TH FLOOR	310.553.8871	US	CA	LOS ANGELES	90067	HOULIHAN LOKEY, INC.	10250 CONSTELLATION BLVD., 5TH FLOOR			952770395	HOULIHAN LOKEY HOWARD & ZUKIN INC	20040902	1-LAF	0	0331	10-Q	20191231	2020	Q3	20200206	2020-02-06 16:51:00.0	0	1	q3fy2010-q_htm.xml	1	
0001306830-20-000018	1306830	CELANESE CORP	2820	US	TX	IRVING	75039-5421	222 W. LAS COLINAS BLVD., SUITE 900N		972-443-4000	US	TX	IRVING	75039-5421	222 W. LAS COLINAS BLVD., SUITE 900N		US	DE	980420726	CELANESE CORP	20041102	1-LAF	1	1231	10-K	20191231	2019	FY	20200206	2020-02-06 16:24:00.0	0	1	ce-20191231x10k_htm.xml	1	
0001314727-20-000014	1314727	SONOS INC	3651	US	CA	SANTA BARBARA	93101	614 CHAPALA STREET		805-965-3001	US	CA	SANTA BARBARA	93101	614 CHAPALA STREET		US	DE	030479476			1-LAF	0	0930	10-Q	20191231	2020	Q1	20200206	2020-02-05 21:04:00.0	0	1	a10-qq1fy20_htm.xml	1	
0001331463-20-000023	1331463	FEDERAL HOME LOAN BANK OF BOSTON	6111	US	MA	BOSTON	02199	800 BOYLSTON STREET	9TH FLOOR	617-292-9600	US	MA	BOSTON	02199	800 BOYLSTON STREET	9TH FLOOR	US		046002575			4-NON	0	1231	8-K	20200131			20200206	2020-02-06 14:20:00.0	0	0	a8-kdebtissuance262020_htm.xml	1	
0001357204-20-000004	1357204	DUNKIN' BRANDS GROUP, INC.	5810	US	MA	CANTON	02021	130 ROYALL STREET		7817374516	US	MA	CANTON	02021	130 ROYALL STREET		US	DE	000000000	DUNKIN' BRANDS GROUP HOLDINGS, INC.	20100401	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 06:28:00.0	0	0	earningsrelease8kdecem_htm.xml	1	
0001357204-20-000006	1357204	DUNKIN' BRANDS GROUP, INC.	5810	US	MA	CANTON	02021	130 ROYALL STREET		7817374516	US	MA	CANTON	02021	130 ROYALL STREET		US	DE	000000000	DUNKIN' BRANDS GROUP HOLDINGS, INC.	20100401	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:03:00.0	0	0	february20208kinvestor_htm.xml	1	
0001375365-20-000008	1375365	SUPER MICRO COMPUTER, INC.	3571	US	CA	SAN JOSE	95131	980 ROCK AVENUE		408-503-8000	US	CA	SAN JOSE	95131	980 ROCK AVENUE		US	CA	770353939			1-LAF	0	0630	8-K	20200131			20200206	2020-02-06 16:41:00.0	0	0	form8-k20200206_htm.xml	1	
0001377789-20-000011	1377789	AVIAT NETWORKS, INC.	3663	US	CA	MILPITAS	95035	860 N. MCCARTHY BLVD, SUITE 200		4089417100	US	CA	MILPITAS	95035	860 N. MCCARTHY BLVD, SUITE 200				205961564	AVIAT NETWORKS INC	20161109	4-NON	0	0630	10-Q	20191231	2020	Q2	20200206	2020-02-06 16:09:00.0	0	1	avnw-20191227.xml	1	
0001381668-20-000010	1381668	TFS FINANCIAL CORP	6035	US	OH	CLEVELAND	44105	7007 BROADWAY AVENUE		(216) 441-6000	US	OH	CLEVELAND	44105	7007 BROADWAY AVENUE		US	DE	522054948			1-LAF	0	0930	10-Q	20191231	2020	Q1	20200206	2020-02-06 16:06:00.0	0	1	tfslfy20decmaster10q_htm.xml	1	
0001387131-20-001119	72971	WELLS FARGO & COMPANY/MN	6021	US	CA	SAN FRANCISCO	94163	420 MONTGOMERY STREET		6126671234	US	CA	SAN FRANCISCO	94163	420 MONTGOMERY STREET		US	DE	410449260	WELLS FARGO & CO/MN	19981103	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 15:28:00.0	0	0	wfc-8k_020620_htm.xml	1	
0001389050-20-000017	1389050	ARCHROCK, INC.	4922	US	TX	HOUSTON	77024	9807 KATY FREEWAY	STE 100	281-836-8000	US	TX	HOUSTON	77024	9807 KATY FREEWAY	STE 100			743204509	EXTERRAN HOLDINGS INC.	20070619	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 17:08:00.0	0	0	a202002068karoc_htm.xml	1	
0001392972-20-000044	1392972	PROS HOLDINGS, INC.	7371	US	TX	HOUSTON	77002	3100 MAIN STREET	SUITE 900	713-335-5151	US	TX	HOUSTON	77002	3100 MAIN STREET	SUITE 900	US	DE	760168604			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 16:28:00.0	0	0	form8-k2019q4earningsr_htm.xml	1	
0001393883-20-000011	1393883	DHI GROUP, INC.	7389	US	NY	NEW YORK	10018	1450 BROADWAY, 29TH FLOOR		212-725-6550	US	NY	NEW YORK	10018	1450 BROADWAY, 29TH FLOOR		US	DE	203179218	DICE HOLDINGS, INC.	20070321	2-ACC	0	1231	10-K	20191231	2019	FY	20200206	2020-02-06 16:23:00.0	0	1	dhx-20191231.xml	1	
0001402057-20-000008	1402057	CDW CORP	5961	US	IL	VERNON HILLS	60061	200 N MILWAUKEE AVENUE		847-465-6000	US	IL	VERNON HILLS	60061	200 N MILWAUKEE AVENUE		US	DE	260273989	VH HOLDINGS, INC.	20070605	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:07:00.0	1	0	cdw-20191231form8xk_htm.xml	1	
0001413329-20-000004	1413329	PHILIP MORRIS INTERNATIONAL INC.	2111	US	NY	NEW YORK	10017	120 PARK AVENUE		(917) 663-2000	US	NY	NEW YORK	10017	120 PARK AVENUE		US	VA	133435103			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 09:06:00.0	0	0	a2020-02x068xk_htm.xml	1	
0001417398-20-000013	1417398	HILLENBRAND, INC.	3990	US	IN	BATESVILLE	47006	ONE BATESVILLE BOULEVARD		(812)931-5403	US	IN	BATESVILLE	47006	ONE BATESVILLE BOULEVARD		US	IN	261342272	BATESVILLE HOLDINGS, INC.	20071102	1-LAF	0	0930	8-K	20200131			20200206	2020-02-05 18:11:00.0	0	0	hi201912318-k_htm.xml	1	
0001417398-20-000014	1417398	HILLENBRAND, INC.	3990	US	IN	BATESVILLE	47006	ONE BATESVILLE BOULEVARD		(812)931-5403	US	IN	BATESVILLE	47006	ONE BATESVILLE BOULEVARD		US	IN	261342272	BATESVILLE HOLDINGS, INC.	20071102	1-LAF	0	0930	10-Q	20191231	2020	Q1	20200206	2020-02-05 18:18:00.0	0	1	hi2019123110-q_htm.xml	1	
0001418091-20-000019	1418091	TWITTER, INC.	7370	US	CA	SAN FRANCISCO	94103	1355 MARKET STREET, SUITE 900		(415) 222-9670	US	CA	San Francisco	94103	1355 MARKET STREET, SUITE 900		US	DE	208913779	TWITTER INC	20071109	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 07:01:00.0	0	0	twtr-20200206_htm.xml	1	
0001423689-20-000010	1423689	AGNC INVESTMENT CORP.	6798	US	MD	BETHESDA	20814	2 BETHESDA METRO CENTER 12TH FLOOR		301 968 9300	US	MD	BETHESDA	20814	2 BETHESDA METRO CENTER 12TH FLOOR				261701984	AMERICAN CAPITAL AGENCY CORP	20080111	1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 17:02:00.0	0	0	a8-k2620_htm.xml	1	
0001433642-20-000012	1433642	HAMILTON LANE INC	6282	US	PA	BALA CYNWYD	19004	ONE PRESIDENTIAL BOULEVARD	4TH FLOOR	(610) 934-2222	US	PA	BALA CYNWYD	19004	ONE PRESIDENTIAL BOULEVARD	4TH FLOOR	US	DE	262482738			1-LAF	0	0331	10-Q	20191231	2020	Q3	20200206	2020-02-06 16:24:00.0	0	1	hlne-20191231_htm.xml	1	
0001437749-20-001834	1443669	PROTO LABS INC	3440	US	MN	MAPLE PLAIN	55359	5540 Pioneer Creek		763-479-7474	US	MN	Maple Plain	55359	5540 Pioneer Creek				000000000			1-LAF	0	1231	8-K	20200131			20200206	2020-02-06 06:03:00.0	0	0	prlb20200203_8k_htm.xml	1	
0001437749-20-001836	763532	LSI INDUSTRIES INC	3640	US	OH	CINCINNATI	45242	10000 ALLIANCE RD	P O BOX 42728	5135796411	US	OH	CINCINNATI	45242	10000 ALLIANCE RD	P O BOX 42728	US	OH	310888951	LSI LIGHTING SYSTEMS INC	19891121	2-ACC	0	0630	10-Q	20191231	2020	Q2	20200206	2020-02-06 06:13:00.0	0	1	lyts-20191231.xml	1	
0001437749-20-001842	875657	ULTRALIFE CORP	3690	US	NY	NEWARK	14513	2000 TECHNOLOGY PARKWAY		3153327100	US	NY	NEWARK	14513	2000 TECHNOLOGY PARKWAY		US	DE	161387013	ULTRALIFE BATTERIES INC	19940224	2-ACC	0	1231	10-K	20191231	2019	FY	20200206	2020-02-06 07:08:00.0	0	1	ulbi-20191231.xml	1	
0001437749-20-001888	7623	ARTS WAY MANUFACTURING CO INC	3523	US	IA	ARMSTRONG	50514	P O BOX 288		7128643131	US	IA	ARMSTRONG	50514	P O BOX 288		US	DE	420920725			4-NON	0	1130	10-K	20191130	2019	FY	20200206	2020-02-06 14:57:00.0	0	1	artw-20191130.xml	1	
